"strain","volume","trait","E_sch","B0_sch","E_D_sch","T_pk_est_sch","T_pk_sch","P_pk_sch","r_sq_sch","n_temps","temps_before_peak","temps_after_peak","Phylum","Class","Order","Family","Genus","Species","iso_temp","incu_temp","niche_width","niche_width_pk","operational_range","cc_OD","cc_biomass","cc_biomass_temp","cc_biomass_std"
"04_RT_01",6.41784217492352,"Growth Rate",1.39577193391465,0.00712512347975733,3.30209569083397,299.770351093538,298.15,0.753295337717186,0.830698492450596,8,6,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis","RT",4,13.12,6.84035109353803,21.620351093538,0.375833333333333,27.5972107249885,37.7271846267058,93.9583333333333
"04_RT_02",0.165428897746661,"Growth Rate",1.47421162365209,0.00320784272488694,5.08245617858479,296.498225538427,296.15,0.314099402850057,0.806643669967342,8,6,2,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis","RT",4,8.9,5.18822553842702,18.348225538427,1.0195,32.9599413494444,39.4945154407716,254.875
"04_RT_05",0.164051571428356,"Growth Rate",1.23048564234027,0.0160491639725391,1.62491944475843,300.14627181574,298.15,0.421819028813563,0.847243376172164,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis","RT",4,32.2,11.52627181574,21.99627181574,1.44783333333333,42.1459994628247,43.8701706251687,361.958333333333
"04_04_02",0.152393831817675,"Growth Rate",0.796831620453873,0.0182609064040821,8.70998150093493,299.970833537715,298.15,0.308169492334536,0.840628597519505,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis","4",4,11.24,8.45083353771503,21.820833537715,1.35683333333333,53.7543034449167,28.7008842549609,339.208333333333
"04_04_04",0.140117825062316,"Growth Rate",0.615790571735008,0.0259413730984596,7.84096082986458,294.899812440818,294.15,0.161667370233742,0.449838577752152,7,5,2,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","sp.","4",4,12.28,9.339812440818,16.749812440818,1.023,81.1557596699262,52.0383261348024,255.75
"10_RT_01",0.186265705764984,"Growth Rate",1.55135270657279,0.00147971299981433,6.5278614632022,299.721566632964,298.15,0.343574037397013,0.874436173116741,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","RT",10,8.54,5.31156663296405,21.571566632964,0.841833333333333,17.0630670029981,26.7413546169342,210.458333333333
"10_RT_02",0.185655831393778,"Growth Rate",1.68142814268466,0.00164314016101218,4.16146868119977,298.8404456408,298.15,0.44757310123112,0.86658664570468,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","RT",10,10.09,5.35044564080002,20.6904456408,0.806833333333333,29.7698380847894,42.3779982525071,201.708333333333
"10_10_06",0.758334071733421,"Growth Rate",0.833812478321253,0.035339461854921,1.77765167324574,295.239140430299,296.15,0.264163890611721,0.458201495819115,8,5,3,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","sp.","10",10,22.4,11.049140430299,17.089140430299,0.166,19.0520010259875,16.6027666094971,41.5
"21_21_02",0.207765909625514,"Growth Rate",0.700155506192075,0.0412431267410792,5.13129055401377,298.132771830146,298.15,0.430722605255968,0.712424192964722,8,6,2,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","21",21,12.98,8.90277183014602,19.982771830146,1.4915,103.256948499968,49.3123310654558,372.875
"21_21_04",0.162103173536285,"Growth Rate",0.950109085874615,0.0237501517429341,3.60232891740179,295.177192063634,294.15,0.347866313815866,0.800971366975433,8,5,3,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","sp.","21",21,13.1,7.797192063634,17.027192063634,0.204,35.582614437736,13.6017034873154,51
"21_21_06",0.208438793050665,"Growth Rate",1.10267478445752,0.0128268356905376,3.94216977852755,295.129917865287,294.15,0.295217390989646,0.818320777169025,8,5,3,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","21",21,11.72,6.88991786528701,16.979917865287,1.519,140.16366597852,54.7115055780401,379.75
"30_RT_01",0.122375810793876,"Growth Rate",0.669870667231756,0.0142235732190371,6.14335463476531,298.096415525314,298.15,0.137145631104851,0.730478787536989,7,5,2,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","sp.","RT",30,12.51,8.95641552531402,19.946415525314,0.988,11.3320026891922,7.76116016131678,247
"40_RT_01",0.766608387867876,"Growth Rate",0.38521285481668,0.0996717526206246,3.64077235135965,309.526174640948,308.15,0.600895177551066,0.789912316167687,10,8,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","simplex","RT",40,23.25,16.626174640948,31.376174640948,0.173916666666667,8.14220651281319,13.7419976757654,43.4791666666667
"40_RT_03",0.237323398166603,"Growth Rate",0.782205844304771,0.0376023912861011,2.10999082359016,300.179415720763,298.15,0.455945874579587,0.7912489565955,8,6,2,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus","arenosi","RT",40,20.74,11.129415720763,22.029415720763,1.25433333333333,45.7763010690346,42.9483437451429,313.583333333333
"40_RT_04",0.252847031644484,"Growth Rate",0.963926004264576,0.0232332083009591,1.86771804003318,299.87980986384,298.15,0.423336209003403,0.892058857650828,8,6,2,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus","arenosi","RT",40,22.34,10.60980986384,21.72980986384,0.740833333333333,34.5359172414132,49.5180121373586,185.208333333333
"50_RT_01",0.875983333947237,"Growth Rate",0.428012215142653,0.0736073157353795,2.67580859236471,308.858739487764,308.15,0.504428738548557,0.7936146789132,10,8,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","simplex","RT",50,24.13,15.848739487764,30.708739487764,0.179916666666667,11.1899551255401,9.63440564986175,44.9791666666667
"50_RT_06",2.7280217206458,"Growth Rate",1.57335707470035,0.0111932503685504,2.22925016490316,293.207783562527,294.15,0.316295821021747,0.546434596502669,8,4,4,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis","RT",50,20.16,7.95778356252705,15.057783562527,0.30375,18.7010637830354,19.1460868172977,75.9375
"04_04_06",0.146722546358024,"Growth Rate",1.33469880213776,0.00169706113015105,24.5536323756315,301.618892816692,298.15,0.197094862506664,0.763055628861939,7,6,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis","4",4,8.71,7.388892816692,18.468892816692,1.51983333333333,74.1636479625591,31.6957399535241,379.958333333333
"21_RT_05",1.27831689206666,"Growth Rate",1.37673655339579,0.00206014872773,2.86402482996812,299.865881263236,298.15,0.186630734014696,0.728838746099764,7,6,1,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","coeliaca","RT",21,14.87,7.36588126323604,21.715881263236,0.479833333333333,18.1024138789916,7.01609633515915,119.958333333333
"30_RT_02",0.128746004638108,"Growth Rate",0.61317096185811,0.02988432539582,7.19277746297642,298.472247605509,298.15,0.248416535390475,0.793907532591435,5,4,1,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","sp.","RT",30,12.72,9.51224760550901,15.322247605509,0.184833333333333,3.6606183082243,3.56397648000461,46.2083333333333
"40_RT_06",2.56138993439867,"Growth Rate",0.817955750095609,0.0421647665828027,1.92323435073919,298.265081871352,298.15,0.452042822294312,0.668732881446209,7,5,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis","RT",40,21.24,10.875081871352,20.115081871352,0.394333333333333,31.1706351570713,28.7284124299541,98.5833333333332
"50_RT_04",0.149492621838508,"Growth Rate",1.07614602999364,0.0101619348719619,3.23470672180983,297.779164228667,298.15,0.296759651017846,0.652941077348526,6,4,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","sp.","RT",50,13.39,7.47916422866703,14.629164228667,0.166,20.9347040652086,21.7688271593108,41.5
